run,category,tag,step,wall_time_utc,value
phase1_songs01,training_aggregate,train/avg_accuracy,28000,2026-09-08T09:06:59.650685Z,0.2495115399
phase1_songs01,training_aggregate,train/avg_accuracy,29000,2026-09-08T09:08:01.704032Z,0.2614144683
phase1_songs01,training_aggregate,train/avg_accuracy,30000,2026-09-08T09:09:05.532764Z,0.2736128271
phase1_songs01,training_aggregate,train/avg_accuracy,31000,2026-09-08T09:10:23.184974Z,0.2849914134
phase1_songs01,training_aggregate,train/avg_accuracy,32000,2026-09-08T09:11:27.787150Z,0.2977111042
phase1_songs01,training_aggregate,train/avg_accuracy,33000,2026-09-08T09:12:33.505028Z,0.3069524467
phase1_songs01,training_aggregate,train/avg_accuracy,34000,2026-09-08T09:13:35.150660Z,0.3199347258
phase1_songs01,training_aggregate,train/avg_accuracy,35000,2026-09-08T09:14:39.389192Z,0.3315424621
phase1_songs01,training_aggregate,train/avg_accuracy,36000,2026-09-08T09:15:42.604148Z,0.3432131112
phase1_songs01,training_aggregate,train/avg_accuracy,37000,2026-09-08T09:16:41.789994Z,0.3563764095
phase1_songs01,training_aggregate,train/avg_accuracy,38000,2026-09-08T09:17:44.515400Z,0.3661818206
phase1_songs01,training_aggregate,train/avg_accuracy,39000,2026-09-08T09:18:47.316653Z,0.3825111389
phase1_songs01,training_aggregate,train/avg_accuracy,40000,2026-09-08T09:19:51.171819Z,0.3946326375
phase1_songs01,training_aggregate,train/avg_accuracy,41000,2026-09-08T09:21:06.990446Z,0.4086011052
phase1_songs01,training_aggregate,train/avg_accuracy,42000,2026-09-08T09:22:11.262940Z,0.4163441658
phase1_songs01,training_aggregate,train/avg_accuracy,43000,2026-09-08T09:23:10.526369Z,0.4310948849
phase1_songs01,training_aggregate,train/avg_accuracy,44000,2026-09-08T09:24:12.742397Z,0.4459758401
phase1_songs01,training_aggregate,train/avg_accuracy,45000,2026-09-08T09:25:16.516098Z,0.4575596154
phase1_songs01,training_aggregate,train/avg_accuracy,46000,2026-09-08T09:26:19.220035Z,0.4698877633
phase1_songs01,training_aggregate,train/avg_accuracy,47000,2026-09-08T09:27:22.970880Z,0.48368752
phase1_songs01,training_aggregate,train/avg_accuracy,48000,2026-09-08T09:28:26.522900Z,0.4944739342
phase1_songs01,training_aggregate,train/avg_accuracy,49000,2026-09-08T09:29:28.073182Z,0.4985888302
phase1_songs01,training_aggregate,train/avg_accuracy,50000,2026-09-08T09:30:29.244934Z,0.51205796
phase1_songs01,training_aggregate,train/avg_accuracy,51000,2026-09-08T09:32:00.370064Z,0.5222147107
phase1_songs01,training_aggregate,train/avg_accuracy,52000,2026-09-08T09:33:00.436652Z,0.5316673517
phase1_songs01,training_aggregate,train/avg_accuracy,53000,2026-09-08T09:34:00.908385Z,0.5380854011
phase1_songs01,training_aggregate,train/avg_accuracy,54000,2026-09-08T09:35:05.145617Z,0.5461660028
phase1_songs01,training_aggregate,train/avg_accuracy,55000,2026-09-08T09:36:07.029083Z,0.5585756302
phase1_songs01,training_aggregate,train/avg_accuracy,56000,2026-09-08T09:37:09.732691Z,0.5660318732
phase1_songs01,training_aggregate,train/avg_accuracy,57000,2026-09-08T09:38:09.750037Z,0.5755067468
phase1_songs01,training_aggregate,train/avg_accuracy,58000,2026-09-08T09:39:10.703590Z,0.5839836597
phase1_songs01,training_aggregate,train/avg_accuracy,59000,2026-09-08T09:40:12.642308Z,0.5924289227
phase1_songs01,training_aggregate,train/avg_accuracy,60000,2026-09-08T09:41:14.952591Z,0.5983426571
phase1_songs01,training_aggregate,train/avg_accuracy,61000,2026-09-08T09:42:28.735176Z,0.6065056324
phase1_songs01,training_aggregate,train/avg_accuracy,62000,2026-09-08T09:43:29.480825Z,0.6116350293
phase1_songs01,training_aggregate,train/avg_accuracy,63000,2026-09-08T09:44:32.154147Z,0.6180538535
phase1_songs01,training_aggregate,train/avg_accuracy,64000,2026-09-08T09:45:35.816708Z,0.6249377131
phase1_songs01,training_aggregate,train/avg_accuracy,65000,2026-09-08T09:46:36.860381Z,0.6306144595
phase1_songs01,training_aggregate,train/avg_accuracy,66000,2026-09-08T09:47:41.103031Z,0.6327860951
phase1_songs01,training_aggregate,train/avg_accuracy,67000,2026-09-08T09:48:43.814367Z,0.6404768825
phase1_songs01,training_aggregate,train/avg_accuracy,68000,2026-09-08T09:49:47.583114Z,0.647464335
phase1_songs01,training_aggregate,train/avg_accuracy,69000,2026-09-08T09:50:50.334874Z,0.6525679231
phase1_songs01,training_aggregate,train/avg_accuracy,70000,2026-09-08T09:51:55.714467Z,0.653967917
phase1_songs01,training_aggregate,train/avg_loss,1000,2026-09-08T08:38:55.470683Z,7.626141548
phase1_songs01,training_aggregate,train/avg_loss,2000,2026-09-08T08:39:51.101432Z,6.30441761
phase1_songs01,training_aggregate,train/avg_loss,3000,2026-09-08T08:40:49.085196Z,5.994770527
phase1_songs01,training_aggregate,train/avg_loss,4000,2026-09-08T08:41:45.113125Z,5.795271873
phase1_songs01,training_aggregate,train/avg_loss,5000,2026-09-08T08:42:41.193180Z,5.642574787
phase1_songs01,training_aggregate,train/avg_loss,6000,2026-09-08T08:43:38.582527Z,5.526801109
